,finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6,race_id,recent_6_runs,recent_ave_rank,unique_horse_id,jockey_id,jockey_ave_rank,trainer_id,trainer_ave_rank,race_distance
1,1,1,DOUBLE DRAGON,K019,B Prebble,D Cruz,133,1032,1,-,1,2,2,1,1.22.33,3.8,,,2014-001,,7,1,1,7,1,7,1400
2,2,2,PLAIN BLUE BANNER,S070,D Whyte,D E Ferraris,133,1075,13,2,8,9,9,2,1.22.65,8,,,2014-001,,7,2,2,7,2,7,1400
3,3,10,GOLDWEAVER,P072,Y T Cheng,Y S Tsui,121,1065,3,2,2,1,1,3,1.22.66,5.7,,,2014-001,,7,3,3,7,3,7,1400
4,4,3,SUPREME PROFIT,P230,J Moreira,C S Shum,132,1222,2,2,6,4,5,4,1.22.66,6.1,,,2014-001,,7,4,4,7,4,7,1400
5,5,7,THE ONLY KID,H173,Z Purton,K W Lui,125,1136,9,4-1/4,9,10,10,5,1.23.02,6.1,,,2014-001,,7,5,5,7,5,7,1400
6,6,9,WINNING ADVANTAGE,N359,A Suborics,A T Millard,123,1100,11,5-1/2,12,13,13,6,1.23.20,24,,,2014-001,,7,6,6,7,6,7,1400
7,7,13,CARE FREE ELEGANCE,P340,C Y Ho,K L Man,115,1053,12,5-1/2,4,3,3,7,1.23.22,99,,,2014-001,,7,7,7,7,7,7,1400
8,8,4,COOL PAL,S035,H W Lai,L Ho,129,1203,8,5-3/4,5,6,6,8,1.23.25,21,,,2014-001,,7,8,8,7,8,7,1400
9,9,6,TAI PO FORTUNE,P081,K Teetan,T P Yung,127,1073,6,6-1/4,7,7,7,9,1.23.33,10,,,2014-001,,7,9,9,7,9,7,1400
10,10,11,SUPER HORSE,L308,T H So,C W Chang,119,1137,7,6-3/4,11,11,12,10,1.23.41,27,,,2014-001,,7,10,10,7,10,7,1400
11,11,5,AMAZING GIFT,S090,K C Leung,P O'Sullivan,125,1099,4,7-3/4,3,5,4,11,1.23.56,17,,,2014-001,,7,11,11,7,11,7,1400
12,12,14,LITTLE WIND,N306,C Y Lui,P F Yiu,107,1062,5,10-1/4,10,8,8,12,1.23.96,46,,,2014-001,,7,12,12,7,12,7,1400
13,13,8,EVERSPRING,P325,M L Yeung,A Lee,122,988,14,11,13,12,11,13,1.24.10,58,,,2014-001,,7,13,13,7,13,7,1400
15,1,7,JUST MISTERE,P012,D Whyte,Y S Tsui,130,1147,8,-,7,7,1,,1.09.97,7.1,,,2014-002,,7,14,2,2,3,3,1200
16,2,11,MASSIVE,P331,K C Leung,L Ho,117,1073,10,1-1/4,2,2,2,,1.10.17,7.4,,,2014-002,,7,15,11,11,8,8,1200
17,3,10,SHANGHAI PIONEER,L252,C Reith,D E Ferraris,120,1072,7,1-3/4,9,8,3,,1.10.24,82,,,2014-002,,7,16,14,7,2,2,1200
18,4,12,POSITIVE ENERGY,P011,J Moreira,P F Yiu,115,1161,13,2,3,3,4,,1.10.31,5.7,,,2014-002,,7,17,4,4,12,12,1200
19,5,6,KING ON EARTH,L251,H W Lai,A Lee,129,1084,14,2-1/2,11,10,5,,1.10.39,58,,,2014-002,,7,18,8,8,13,13,1200
20,6,14,JUST GOOD,L133,W M Lai,Y S Tsui,113,1116,3,2-1/2,12,11,6,,1.10.39,44,,,2014-002,,7,19,15,7,3,2,1200
21,7,4,MONEY CAFE,S031,Y T Cheng,C H Yip,132,1103,2,4-1/4,8,9,7,,1.10.64,19,,,2014-002,,7,20,3,3,14,7,1200
22,8,9,FLYING KEEPER,M191,C K Tong,C Fownes,122,1071,11,4-3/4,13,13,8,,1.10.74,36,,,2014-002,,7,21,16,7,15,7,1200
23,9,8,SUPER TEAM,M036,C Y Ho,A T Millard,128,1147,6,6-1/4,10,12,9,,1.10.96,83,,,2014-002,,7,22,7,7,6,6,1200
24,10,3,CALIFORNIA ROCK,S233,M Chadwick,A S Cruz,132,1198,5,7,1,1,10,,1.11.11,6,,,2014-002,,7,23,17,7,16,7,1200
25,11,5,JOYFUL LUCK,M223,O Doleuze,C W Chang,131,1092,12,8-1/2,4,4,11,,1.11.35,13,,,2014-002,,7,24,18,7,10,10,1200
26,12,2,SPARKLING SWORD,P256,Z Purton,K W Lui,133,1123,4,9,6,5,12,,1.11.42,2.7,,,2014-002,,7,25,5,5,5,5,1200
27,13,1,ALLEY-OOP,P379,T H So,C W Chang,131,1167,9,9,14,14,13,,1.11.43,99,,,2014-002,,7,26,10,10,10,10,1200
28,14,13,AMERICAN FAME,P449,K Teetan,C S Shum,114,1045,1,12-1/2,5,6,14,,1.11.96,99,,,2014-002,,7,27,9,9,4,4,1200
29,1,5,GOLDEN HARVEST,N236,J Moreira,A T Millard,115,1179,11,-,7,6,1,,1.08.37,7.9,,,2014-003,,7,28,4,4,6,8,1200
30,2,8,SMART VOLATILITY,P049,Y T Cheng,K W Lui,113,1180,5,N,5,3,2,,1.08.44,6.6,,,2014-003,,7,29,3,5,5,8,1200
31,3,7,PENIAPHOBIA,S143,M Chadwick,A S Cruz,113,1110,2,1,1,1,3,,1.08.55,6.2,,,2014-003,,7,30,17,10,16,10,1200
32,4,6,LORD SINCLAIR,N447,H W Lai,S Woods,111,1170,9,3-3/4,9,8,4,,1.08.99,41,,,2014-003,,7,31,8,6,17,7,1200
33,5,2,CHARLES THE GREAT,N171,C Reith,J Moore,131,1090,3,4-1/4,6,7,5,,1.09.05,17,,,2014-003,,7,32,14,3,18,7,1200
34,6,11,BEST ELEVEN,N016,K C Leung,A S Cruz,113,1100,4,4-1/2,4,5,6,,1.09.09,93,,,2014-003,,7,33,11,6,16,6,1200
35,7,9,TOUR DE FORCE,N297,K Teetan,J Size,113,1106,6,5-3/4,8,10,7,,1.09.28,10,,,2014-003,,7,34,9,12,19,7,1200
36,8,1,HELENE SPIRIT,M310,A Suborics,C Fownes,133,1114,10,5-3/4,10,11,8,,1.09.28,21,,,2014-003,,7,35,6,6,15,8,1200
37,9,4,BULLISH FRIEND,N333,Z Purton,A S Cruz,120,1144,1,6,3,4,9,,1.09.33,21,,,2014-003,,7,36,5,8,16,6,1200
38,10,3,DIVINE TEN,P391,D Whyte,Y S Tsui,121,1193,7,6-1/4,2,2,10,,1.09.35,2,,,2014-003,,7,37,2,2,3,3,1200
39,11,10,EL ZONDA,K132,M L Yeung,A S Cruz,111,1073,8,7-3/4,11,9,11,,1.09.63,99,,,2014-003,,7,38,13,13,16,7,1200
40,1,5,ROMANTIC CASH,S319,O Doleuze,C S Shum,125,1144,9,-,2,2,1,,1.09.26,7.6,,,2014-004,,7,39,18,11,4,9,1200
41,2,3,HIT THE BID,P214,J Moreira,A T Millard,130,1155,5,3,3,3,2,,1.09.74,2.6,,,2014-004,,7,40,4,3,6,5,1200
42,3,11,EXCITABLE BOY,P440,H W Lai,A Schutz,116,1137,6,3-1/4,1,1,3,,1.09.80,99,,,2014-004,,7,41,8,6,20,7,1200
43,4,8,COLLAGEN,P302,M Chadwick,P O'Sullivan,121,1177,2,4-1/4,6,5,4,,1.09.96,34,,,2014-004,,7,42,17,6,11,11,1200
44,5,14,WINNING BOY,N186,W M Lai,T P Yung,115,973,11,4-3/4,9,8,5,,1.10.01,12,,,2014-004,,7,43,15,6,9,9,1200
45,6,9,FOREVER AHEAD,N433,Z Purton,W Y So,120,1048,3,5-1/4,8,7,6,,1.10.09,7.8,,,2014-004,,7,44,5,9,21,7,1200
46,7,1,LUCKY DAY,S014,D Whyte,A S Cruz,133,1092,12,6,13,13,7,,1.10.21,5.3,,,2014-004,,7,45,2,4,16,8,1200
47,8,13,HEARTLAND,M332,Y T Cheng,L Ho,116,1092,1,6,5,6,8,,1.10.23,11,,,2014-004,,7,46,3,4,8,5,1200
48,9,4,OPTIMISM,S150,K Teetan,D E Ferraris,126,1025,10,6,14,11,9,,1.10.23,99,,,2014-004,,7,47,9,10,2,2,1200
49,10,7,SILVER DRAGON,M326,C Y Ho,Y S Tsui,121,1113,7,6-3/4,10,10,10,,1.10.32,25,,,2014-004,,7,48,7,8,3,5,1200
50,11,10,ELEGANT FRAMES,N240,M L Yeung,T K Ng,117,1198,14,7,4,4,11,,1.10.37,70,,,2014-004,,7,49,13,12,22,7,1200
51,12,2,ABLE WARRIOR,P265,C Reith,J Moore,132,1212,8,8-1/2,11,14,12,,1.10.64,22,,,2014-004,,7,50,14,4,18,5,1200
52,13,12,WIN CHANCE,P415,T H So,C H Yip,115,1015,4,16-1/4,12,12,13,,1.11.85,99,,,2014-004,,7,51,10,12,14,7,1200
53,14,6,GOLDEN GUNNERS,N330,C Y Lui,D Cruz,116,1019,13,20,7,9,14,,1.12.44,14,,,2014-004,,7,52,12,12,1,1,1200
54,1,8,SENSATION,S225,Z Purton,T P Yung,123,1162,10,-,13,13,1,,0.56.36,15,,,2014-005,,7,53,5,8,9,7,1000
55,2,3,MELLIFLUENT,S059,D Whyte,C S Shum,129,1158,12,SH,12,8,2,,0.56.38,3.1,,,2014-005,,7,54,2,5,4,6,1000
56,3,5,HAYHAY,P343,M L Yeung,K W Lui,124,1153,3,HD,5,3,3,,0.56.40,51,,,2014-005,,7,55,13,12,5,6,1000
57,4,2,INCREDIBLE FELLOW,S177,O Doleuze,R Gibson,131,1192,1,N,3,2,4,,0.56.40,5.8,,,2014-005,,7,56,18,6,23,7,1000
58,5,10,VICTORY GENERAL,L396,M Chadwick,C Fownes,122,1078,5,1/2,1,1,5,,0.56.44,13,,,2014-005,,7,57,17,6,15,8,1000
59,6,12,FLASHING GUY,L158,K C Leung,K L Man,116,1043,13,2-1/2,6,4,6,,0.56.75,23,,,2014-005,,7,58,11,6,7,7,1000
